,Date,Megapiler,Megaball,Estimated Jackpot,W51,W50,W41,W40,W31,W21,W30,W11,W01,Total W,M50,M41,M40,M31,M21,M30,M11,M01,Total Mega Winners,P15,PO5,P41,P40,,P31,P30,P21,P20,P11,,,P01,P10,P00
julie ,12/31/10,4,9,242000000.00,0.00,21.00,173.00,7535.00,9078.00,154323.00,401371.00,918652.00,1670952.00,3161911.00,1.00,8.00,383.00,437.00,8238.00,20927.00,48960.00,87770.00,167000.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.03,0.00,0.02,,,0.05,0.25,0.65
,12/28/10,4,7,200000000.00,0.00,17.00,81.00,3491.00,4172.00,71129.00,177425.00,437219.00,852218.00,1545654.00,3.00,2.00,199.00,240.00,4149.00,9782.00,25713.00,50340.00,90400.00,,,,,,,,,,,,,,,
,12/24/10,4,16,168000000.00,0.00,11.00,77.00,3373.00,3746.00,64839.00,170394.00,394819.00,740221.00,1377392.00,0.00,3.00,200.00,209.00,3563.00,9541.00,21718.00,40187.00,75400.00,,,,,,,,,,,,,,,
,12/21/10,4,29,145000000.00,0.00,10.00,75.00,3136.00,3432.00,55181.00,161531.00,307855.00,539181.00,1070316.00,1.00,9.00,192.00,226.00,3615.00,10196.00,19250.00,32085.00,65600.00,,,,,,,,,,,,,,,
,12/17/10,4,12,123000000.00,0.00,6.00,41.00,2213.00,2644.00,46182.00,117326.00,285406.00,539157.00,992928.00,0.00,1.00,121.00,137.00,2938.00,7336.00,17508.00,33297.00,61300.00,,,,,,,,,,,,,,,
,12/14/10,3,29,104000000.00,0.00,8.00,48.00,2140.00,2248.00,36517.00,105262.00,223165.00,413229.00,782561.00,1.00,6.00,146.00,146.00,2387.00,6669.00,14304.00,26649.00,50300.00,,,,,,,,,,,,,,,
,12/10/10,4,36,88000000.00,0.00,7.00,33.00,1697.00,1803.00,30137.00,83708.00,183176.00,350281.00,650802.00,0.00,2.00,105.00,102.00,1999.00,5368.00,11839.00,23279.00,42700.00,,,,,,,,,,,,,,,
,12/7/10,4,9,74000000.00,0.00,5.00,34.00,1234.00,1464.00,25302.00,64233.00,166913.00,343553.00,602699.00,1.00,0.00,96.00,106.00,1792.00,4426.00,11722.00,24174.00,42300.00,,,,,,,,,,,,,,,
,12/3/10,3,12,62000000.00,0.00,6.00,34.00,1794.00,2066.00,33545.00,90878.00,184900.00,315954.00,629137.00,0.00,3.00,134.00,168.00,2485.00,6674.00,13406.00,22087.00,45000.00,,,,,,,,,,,,,,,
,11/30/10,4,2,52000000.00,0.00,4.00,23.00,1114.00,1435.00,23241.00,64115.00,140880.00,262782.00,493567.00,0.00,0.00,69.00,87.00,1622.00,4434.00,9681.00,18216.00,34100.00,,,,,,,,,,,,,,,
,11/26/10,2,8,42000000.00,0.00,6.00,24.00,1130.00,1266.00,21550.00,54316.00,132264.00,246923.00,457449.00,0.00,1.00,70.00,96.00,1562.00,3876.00,9510.00,18097.00,33200.00,,,,,,,,,,,,,,,
,11/23/10,4,33,34000000.00,0.00,5.00,23.00,1219.00,1290.00,21495.00,66332.00,125487.00,229572.00,445395.00,0.00,3.00,95.00,101.00,1646.00,4696.00,9091.00,16849.00,32500.00,,,,,,,,,,,,,,,
,11/19/10,2,35,25000000.00,0.00,4.00,14.00,1051.00,1286.00,20571.00,55294.00,124138.00,233442.00,435782.00,0.00,0.00,76.00,82.00,1454.00,3850.00,8687.00,16300.00,30400.00,,,,,,,,,,,,,,,
,11/16/10,3,21,16000000.00,0.00,3.00,18.00,961.00,1109.00,19650.00,49068.00,124465.00,238415.00,433668.00,1.00,0.00,70.00,74.00,1542.00,3567.00,9555.00,18468.00,33300.00,,,,,,,,,,,,,,,
,11/12/10,4,10,12000000.00,0.00,10.00,21.00,1084.00,1497.00,23094.00,56890.00,141525.00,258601.00,482691.00,0.00,2.00,76.00,114.00,1765.00,4185.00,10345.00,19580.00,36100.00,,,,,,,,,,,,,,,
,11/9/10,4,11,25000000.00,1.00,4.00,19.00,1086.00,1317.00,22582.00,56053.00,139437.00,260288.00,480763.00,0.00,2.00,77.00,91.00,1665.00,4084.00,9973.00,19143.00,35000.00,,,,,,,,,,,,,,,
,11/5/10,4,15,16000000.00,0.00,4.00,25.00,1059.00,1199.00,20921.00,54738.00,129323.00,255629.00,462869.00,1.00,1.00,64.00,72.00,1455.00,3838.00,9135.00,17926.00,32500.00,,,,,,,,,,,,,,,
,11/2/10,2,46,12000000.00,0.00,6.00,20.00,1372.00,1328.00,21350.00,68419.00,122659.00,221036.00,436164.00,0.00,2.00,107.00,84.00,1404.00,4853.00,7991.00,14314.00,28800.00,,,,,,,,,,,,,,,
,10/29/10,4,14,140000000.00,1.00,6.00,69.00,2982.00,3291.00,52295.00,148987.00,305803.00,558805.00,1072163.00,0.00,2.00,148.00,175.00,2603.00,7683.00,15580.00,28184.00,54400.00,,,,,,,,,,,,,,,
,10/26/10,4,26,118000000.00,0.00,7.00,42.00,2335.00,2628.00,44588.00,118244.00,270628.00,511924.00,950347.00,0.00,4.00,126.00,122.00,2417.00,6328.00,14581.00,27832.00,51400.00,,,,,,,,,,,,,,,
Marjorie,10/22/10,4,18,101000000.00,0.00,6.00,53.00,2202.00,2736.00,43950.00,115820.00,260666.00,475903.00,901277.00,2.00,1.00,138.00,170.00,2411.00,6389.00,14420.00,25604.00,49100.00,,,,,,,,,,,,,,,
,10/19/10,4,41,86000000.00,0.00,11.00,36.00,1637.00,1689.00,27404.00,85826.00,164810.00,302777.00,584143.00,1.00,1.00,87.00,95.00,1701.00,5159.00,9730.00,18135.00,34900.00,,,,,,,,,,,,,,,
,10/15/10,4,10,72000000.00,0.00,4.00,45.00,1824.00,2490.00,38419.00,92613.00,206640.00,355718.00,697704.00,0.00,3.00,106.00,171.00,2346.00,5694.00,12768.00,21487.00,42600.00,,,,,,,,,,,,,,,
,10/12/10,4,15,61000000.00,0.00,4.00,40.00,1384.00,1545.00,25269.00,66440.00,154139.00,290494.00,539271.00,0.00,0.00,86.00,96.00,1585.00,4247.00,9780.00,18030.00,33800.00,,,,,,,,,,,,,,,
,10/8/10,4,19,51000000.00,0.00,4.00,23.00,1191.00,1464.00,24776.00,63642.00,156433.00,314247.00,561753.00,0.00,1.00,82.00,92.00,1538.00,3959.00,9774.00,20180.00,35600.00,,,,,,,,,,,,,,,
,10/5/10,4,27,41000000.00,0.00,2.00,32.00,1282.00,1632.00,25291.00,66941.00,149440.00,267509.00,512095.00,0.00,2.00,106.00,102.00,1705.00,4323.00,9963.00,17712.00,33900.00,,,,,,,,,,,,,,,
,10/1/10,4,43,32000000.00,0.00,6.00,22.00,1462.00,1340.00,21630.00,72583.00,126538.00,230307.00,453860.00,0.00,3.00,117.00,92.00,1389.00,4976.00,8133.00,15120.00,29800.00,,,,,,,,,,,,,,,
,9/28/10,3,18,23000000.00,0.00,5.00,22.00,1109.00,1306.00,21581.00,59124.00,126626.00,227944.00,437690.00,1.00,2.00,85.00,81.00,1452.00,4163.00,8832.00,15755.00,30400.00,,,,,,,,,,,,,,,
,9/24/10,4,25,16000000.00,0.00,3.00,16.00,987.00,1181.00,20382.00,50692.00,134115.00,272411.00,479768.00,1.00,0.00,77.00,80.00,1445.00,3528.00,9646.00,19654.00,34400.00,,,,,,,,,,,,,,,
,9/21/10,4,26,12000000.00,0.00,5.00,18.00,923.00,1117.00,19210.00,47089.00,121347.00,233004.00,422690.00,1.00,2.00,57.00,82.00,1378.00,3461.00,8740.00,16931.00,30700.00,,,,,,,,,,,,,,,
,9/17/10,3,13,54000000.00,1.00,17.00,56.00,2056.00,2299.00,34395.00,92629.00,184262.00,312504.00,628145.00,3.00,3.00,121.00,145.00,2225.00,6116.00,12240.00,20927.00,41800.00,,,,,,,,,,,,,,,
,9/14/10,4,1,44000000.00,0.00,5.00,37.00,1061.00,1268.00,21430.00,55557.00,136770.00,265525.00,481611.00,0.00,5.00,82.00,84.00,1408.00,3697.00,9153.00,17476.00,31900.00,,,,,,,,,,,,,,,
,9/10/10,3,20,34000000.00,0.00,16.00,40.00,2460.00,2035.00,28789.00,97437.00,153522.00,264760.00,549003.00,1.00,3.00,180.00,150.00,2075.00,7157.00,10598.00,18174.00,38300.00,,,,,,,,,,,,,,,
,9/7/10,4,23,25000000.00,0.00,4.00,25.00,1319.00,1454.00,21979.00,64948.00,126387.00,229192.00,445279.00,0.00,1.00,100.00,110.00,1597.00,4530.00,9455.00,17277.00,33100.00,,,,,,,,,,,,,,,
,9/3/10,4,9,16000000.00,0.00,3.00,43.00,1431.00,1737.00,26175.00,72368.00,150974.00,271536.00,524221.00,0.00,10.00,102.00,129.00,1844.00,5207.00,10657.00,19331.00,37300.00,,,,,,,,,,,,,,,
,8/31/10,3,38,12000000.00,0.00,3.00,26.00,1110.00,1136.00,18584.00,56792.00,115045.00,215834.00,408501.00,0.00,2.00,86.00,68.00,1321.00,4068.00,7911.00,14857.00,28300.00,,,,,,,,,,,,,,,
,8/27/10,4,31,133000000.00,1.00,6.00,47.00,2743.00,3031.00,51781.00,141111.00,295556.00,544186.00,1038408.00,0.00,3.00,114.00,143.00,2554.00,6901.00,14765.00,26857.00,51300.00,,,,,,,,,,,,,,,
,8/24/10,3,31,115000000.00,0.00,7.00,47.00,2337.00,2632.00,42238.00,122999.00,248410.00,454570.00,873186.00,1.00,0.00,119.00,151.00,2277.00,6280.00,12940.00,23347.00,45100.00,,,,,,,,,,,,,,,
,8/20/10,4,36,100000000.00,0.00,8.00,43.00,2258.00,2531.00,39575.00,115365.00,237718.00,439567.00,837014.00,1.00,3.00,139.00,127.00,1975.00,5989.00,11825.00,21843.00,41900.00,,,,,,,,,,,,,,,
Richard,8/17/10,4,33,86000000.00,0.00,9.00,31.00,1448.00,1634.00,28120.00,78392.00,171645.00,318046.00,599285.00,1.00,1.00,73.00,83.00,1560.00,4287.00,9742.00,17869.00,33600.00,,,,,,,,,,,,,,,
,8/13/10,4,36,75000000.00,0.00,2.00,41.00,1556.00,1671.00,28837.00,78663.00,171587.00,323820.00,606134.00,0.00,2.00,80.00,106.00,1575.00,4363.00,9575.00,17853.00,33600.00,,,,,,,,,,,,,,,
,8/10/10,2,12,64000000.00,0.00,5.00,38.00,1320.00,1452.00,25680.00,65969.00,161449.00,311014.00,566884.00,0.00,1.00,92.00,109.00,1510.00,3955.00,9684.00,18733.00,34100.00,,,,,,,,,,,,,,,
,8/6/10,3,30,53000000.00,0.00,10.00,20.00,1438.00,1560.00,25839.00,74647.00,154667.00,289625.00,547776.00,1.00,0.00,100.00,84.00,1525.00,4366.00,9199.00,16972.00,32200.00,,,,,,,,,,,,,,,
,8/3/10,2,32,42000000.00,0.00,2.00,17.00,1247.00,1264.00,21527.00,67427.00,128992.00,239066.00,459523.00,0.00,1.00,72.00,95.00,1345.00,4214.00,7948.00,14674.00,28300.00,,,,,,,,,,,,,,,
,7/30/10,4,42,33000000.00,0.00,4.00,26.00,1007.00,1209.00,20068.00,55882.00,123035.00,241815.00,443016.00,1.00,1.00,62.00,78.00,1198.00,3478.00,7332.00,14273.00,26400.00,,,,,,,,,,,,,,,
,7/27/10,4,8,24000000.00,0.00,15.00,59.00,2216.00,2094.00,27097.00,83979.00,136695.00,231613.00,483694.00,1.00,4.00,122.00,131.00,1731.00,5313.00,8723.00,14461.00,30500.00,,,,,,,,,,,,,,,
,7/23/10,2,26,16000000.00,0.00,4.00,28.00,1024.00,1235.00,20790.00,53244.00,128244.00,247418.00,451955.00,1.00,0.00,61.00,69.00,1346.00,3367.00,8029.00,15718.00,28600.00,,,,,,,,,,,,,,,
,7/20/10,3,19,12000000.00,0.00,2.00,18.00,1181.00,1308.00,20625.00,55618.00,123811.00,229817.00,432360.00,0.00,2.00,71.00,88.00,1283.00,3620.00,8231.00,15178.00,28500.00,,,,,,,,,,,,,,,
,7/16/10,3,34,64000000.00,1.00,7.00,38.00,1551.00,1596.00,25171.00,79410.00,149080.00,277949.00,534757.00,0.00,2.00,90.00,81.00,1457.00,4736.00,8574.00,16038.00,31000.00,,,,,,,,,,,,,,,
,7/13/10,3,14,52000000.00,0.00,4.00,48.00,1642.00,1826.00,27855.00,85817.00,150279.00,261676.00,529095.00,0.00,3.00,107.00,134.00,1776.00,5337.00,9513.00,15740.00,32600.00,,,,,,,,,,,,,,,
,7/9/10,4,41,43000000.00,0.00,6.00,28.00,1069.00,1239.00,20399.00,57807.00,126037.00,239040.00,445591.00,1.00,2.00,59.00,76.00,1174.00,3445.00,7386.00,14064.00,26200.00,,,,,,,,,,,,,,,
,7/6/10,2,36,34000000.00,0.00,4.00,20.00,942.00,1029.00,18462.00,49619.00,113989.00,219987.00,404028.00,0.00,2.00,42.00,64.00,1148.00,3210.00,7100.00,14144.00,25700.00,,,,,,,,,,,,,,,
,7/2/10,4,25,25000000.00,0.00,2.00,30.00,1303.00,1792.00,28005.00,68699.00,154961.00,268003.00,522763.00,1.00,1.00,78.00,125.00,1770.00,4347.00,10146.00,17464.00,33900.00,,,,,,,,,,,,,,,
,6/29/10,3,35,16000000.00,0.00,5.00,23.00,1254.00,1222.00,19606.00,62366.00,112815.00,202816.00,400079.00,1.00,2.00,79.00,75.00,1284.00,4097.00,7335.00,13199.00,26100.00,,,,,,,,,,,,,,,
,6/25/10,4,21,12000000.00,0.00,4.00,38.00,1673.00,1834.00,25601.00,74355.00,133424.00,230607.00,467494.00,0.00,3.00,94.00,112.00,1745.00,4780.00,9025.00,15539.00,31300.00,,,,,,,,,,,,,,,
,6/22/10,4,24,26000000.00,1.00,11.00,37.00,1662.00,1747.00,24609.00,75377.00,133955.00,231117.00,468467.00,0.00,4.00,101.00,133.00,1633.00,5036.00,8546.00,14729.00,30200.00,,,,,,,,,,,,,,,
,6/18/10,4,7,17000000.00,0.00,2.00,22.00,982.00,1244.00,21399.00,51750.00,144010.00,286722.00,506107.00,0.00,1.00,57.00,74.00,1366.00,3280.00,9311.00,18540.00,32600.00,,,,,,,,,,,,,,,
,6/15/10,4,46,12000000.00,0.00,9.00,35.00,1850.00,1457.00,21850.00,77460.00,120395.00,213317.00,436329.00,1.00,4.00,126.00,99.00,1273.00,5134.00,7195.00,13087.00,26900.00,,,,,,,,,,,,,,,
Lucy,6/11/10,3,25,36000000.00,1.00,5.00,36.00,1309.00,1515.00,25422.00,65686.00,156377.00,294789.00,545098.00,0.00,3.00,77.00,86.00,1486.00,3692.00,9373.00,18268.00,33000.00,,,,,,,,,,,,,,,
,6/8/10,3,6,26000000.00,0.00,1.00,37.00,1123.00,1331.00,22473.00,59611.00,136057.00,259552.00,480147.00,0.00,2.00,73.00,87.00,1384.00,3667.00,8272.00,15601.00,29100.00,,,,,,,,,,,,,,,
,6/4/10,4,23,17000000.00,0.00,3.00,40.00,1335.00,1548.00,25325.00,65445.00,146608.00,251921.00,492182.00,0.00,0.00,67.00,91.00,1660.00,4079.00,9861.00,16383.00,32100.00,,,,,,,,,,,,,,,
,6/1/10,2,30,12000000.00,0.00,6.00,19.00,921.00,1054.00,18146.00,48991.00,114880.00,220111.00,404103.00,1.00,3.00,42.00,75.00,1132.00,3227.00,7613.00,14731.00,26800.00,,,,,,,,,,,,,,,
,5/28/10,4,26,12000000.00,1.00,8.00,43.00,1498.00,1690.00,26566.00,74198.00,149874.00,265381.00,519207.00,0.00,3.00,79.00,94.00,1506.00,4350.00,8655.00,15311.00,30000.00,,,,,,,,,,,,,,,
,5/25/10,4,25,64000000.00,1.00,16.00,70.00,2302.00,2726.00,36307.00,98389.00,188885.00,317439.00,646048.00,1.00,7.00,142.00,138.00,2003.00,5714.00,10465.00,17889.00,36400.00,,,,,,,,,,,,,,,
,5/21/10,3,17,54000000.00,0.00,5.00,39.00,1921.00,2100.00,32081.00,87531.00,184448.00,341972.00,650053.00,0.00,2.00,104.00,111.00,1882.00,4874.00,10294.00,19087.00,36400.00,,,,,,,,,,,,,,,
,5/18/10,4,26,42000000.00,0.00,8.00,35.00,1485.00,1758.00,28025.00,73770.00,164138.00,296092.00,565268.00,0.00,0.00,85.00,105.00,1583.00,4292.00,9456.00,17225.00,32700.00,,,,,,,,,,,,,,,
,5/14/10,4,12,31000000.00,0.00,6.00,26.00,1203.00,1389.00,25064.00,63087.00,159960.00,321684.00,572387.00,1.00,2.00,67.00,70.00,1381.00,3405.00,8704.00,17228.00,30900.00,,,,,,,,,,,,,,,
,5/11/10,4,9,19000000.00,0.00,4.00,24.00,1044.00,1262.00,21752.00,56040.00,141810.00,301084.00,522992.00,1.00,1.00,51.00,80.00,1213.00,3253.00,8306.00,17483.00,30400.00,,,,,,,,,,,,,,,
,5/7/10,3,40,12000000.00,0.00,6.00,34.00,1321.00,1426.00,24160.00,71061.00,141261.00,252737.00,491966.00,0.00,2.00,70.00,82.00,1274.00,3849.00,7541.00,13293.00,26100.00,,,,,,,,,,,,,,,
,5/4/10,3,8,266000000.00,1.00,28.00,106.00,5032.00,5700.00,96816.00,256700.00,585040.00,1092037.00,2041325.00,1.00,4.00,178.00,178.00,3300.00,8444.00,19474.00,36511.00,68100.00,,,,,,,,,,,,,,,
,4/30/10,4,40,224000000.00,0.00,12.00,90.00,4189.00,4482.00,73223.00,209411.00,449557.00,869804.00,1610666.00,0.00,3.00,135.00,141.00,2165.00,6773.00,14170.00,27242.00,50600.00,,,,,,,,,,,,,,,
,4/27/10,2,6,191000000.00,0.00,13.00,61.00,3125.00,3224.00,54193.00,151696.00,340481.00,693703.00,1246422.00,1.00,1.00,90.00,106.00,1982.00,5377.00,12227.00,25392.00,45200.00,,,,,,,,,,,,,,,
,4/23/10,4,18,166000000.00,0.00,7.00,68.00,2756.00,3221.00,51853.00,141003.00,316386.00,611128.00,1126347.00,0.00,4.00,104.00,120.00,2076.00,5419.00,12243.00,23619.00,43600.00,,,,,,,,,,,,,,,
,4/20/10,4,25,143000000.00,0.00,12.00,78.00,2631.00,3236.00,53008.00,138217.00,288062.00,526683.00,1011837.00,0.00,5.00,101.00,122.00,2121.00,5478.00,11950.00,21036.00,40800.00,,,,,,,,,,,,,,,
,4/16/10,3,44,122000000.00,0.00,8.00,46.00,2249.00,2305.00,39910.00,111944.00,239889.00,457052.00,853349.00,0.00,3.00,81.00,74.00,1494.00,4393.00,9098.00,17199.00,32300.00,,,,,,,,,,,,,,,
,4/13/10,4,32,105000000.00,0.00,8.00,45.00,2202.00,2039.00,33315.00,104597.00,196973.00,365255.00,704381.00,1.00,1.00,90.00,98.00,1364.00,4410.00,8270.00,15351.00,29600.00,,,,,,,,,,,,,,,
,4/9/10,4,3,90000000.00,0.00,7.00,38.00,1534.00,1795.00,30414.00,79049.00,194344.00,387114.00,694250.00,1.00,1.00,57.00,71.00,1284.00,3530.00,8419.00,17252.00,30600.00,,,,,,,,,,,,,,,
Isabel,4/6/10,4,26,76000000.00,0.00,7.00,26.00,1252.00,1462.00,24788.00,66146.00,159706.00,330095.00,583449.00,0.00,1.00,48.00,62.00,1192.00,3219.00,7658.00,15824.00,28000.00,,,,,,,,,,,,,,,
,4/2/10,4,19,63000000.00,0.00,4.00,37.00,1774.00,1959.00,30968.00,84658.00,180171.00,323518.00,623048.00,1.00,2.00,88.00,94.00,1564.00,4236.00,8982.00,16314.00,31300.00,,,,,,,,,,,,,,,
,3/30/10,3,41,51000000.00,0.00,4.00,21.00,1458.00,1312.00,22308.00,69892.00,132007.00,244310.00,471287.00,0.00,0.00,70.00,64.00,1125.00,3501.00,6508.00,12041.00,23300.00,,,,,,,,,,,,,,,
,3/26/10,4,22,40000000.00,0.00,3.00,19.00,1176.00,1355.00,23028.00,60302.00,145133.00,304860.00,535854.00,1.00,0.00,48.00,75.00,1130.00,2909.00,7270.00,14830.00,26300.00,,,,,,,,,,,,,,,
,3/23/10,4,13,29000000.00,0.00,8.00,31.00,1266.00,1624.00,26463.00,63132.00,155117.00,271262.00,518864.00,0.00,1.00,58.00,91.00,1454.00,3215.00,8256.00,14496.00,27600.00,,,,,,,,,,,,,,,
,3/19/10,4,25,20000000.00,0.00,6.00,17.00,1127.00,1342.00,22126.00,56513.00,144101.00,287336.00,512545.00,0.00,1.00,61.00,70.00,1125.00,2849.00,7237.00,13809.00,25200.00,,,,,,,,,,,,,,,
,3/16/10,4,13,12000000.00,0.00,5.00,15.00,948.00,1203.00,20968.00,50614.00,138025.00,267468.00,479226.00,0.00,2.00,38.00,61.00,1100.00,2759.00,7678.00,14867.00,26500.00,,,,,,,,,,,,,,,
,3/12/10,3,41,20000000.00,1.00,3.00,23.00,1176.00,1281.00,21325.00,63434.00,132008.00,251902.00,471126.00,0.00,1.00,63.00,72.00,1058.00,3230.00,6281.00,12122.00,22800.00,,,,,,,,,,,,,,,
,3/9/10,2,16,12000000.00,0.00,7.00,36.00,1545.00,1600.00,24399.00,72885.00,140781.00,250737.00,491947.00,1.00,2.00,82.00,90.00,1364.00,4154.00,7767.00,13686.00,27100.00,,,,,,,,,,,,,,,
,3/5/10,4,32,133000000.00,1.00,7.00,41.00,2269.00,2455.00,42055.00,118880.00,254927.00,485147.00,905733.00,1.00,2.00,99.00,100.00,1765.00,4776.00,10167.00,19512.00,36400.00,,,,,,,,,,,,,,,
,3/2/10,3,25,112000000.00,0.00,8.00,37.00,1878.00,2330.00,41286.00,102699.00,256256.00,474703.00,879152.00,1.00,0.00,89.00,113.00,1764.00,4471.00,10818.00,20368.00,37600.00,,,,,,,,,,,,,,,
,2/26/10,3,40,99000000.00,0.00,3.00,41.00,1721.00,1834.00,30667.00,86744.00,187535.00,360755.00,669256.00,0.00,1.00,80.00,83.00,1391.00,4024.00,8340.00,16040.00,30000.00,,,,,,,,,,,,,,,
,2/23/10,4,18,83000000.00,0.00,12.00,25.00,1547.00,1846.00,29515.00,76495.00,184617.00,354352.00,648372.00,0.00,2.00,73.00,83.00,1413.00,3657.00,9092.00,17534.00,31900.00,,,,,,,,,,,,,,,
,2/19/10,4,36,68000000.00,0.00,5.00,31.00,1507.00,1648.00,27729.00,75840.00,172799.00,331977.00,611500.00,0.00,1.00,70.00,71.00,1370.00,3623.00,8278.00,16039.00,29500.00,,,,,,,,,,,,,,,
,2/16/10,3,5,56000000.00,0.00,5.00,45.00,1645.00,2140.00,33567.00,83244.00,183492.00,316385.00,620473.00,0.00,3.00,97.00,118.00,1781.00,4391.00,9843.00,16756.00,33000.00,,,,,,,,,,,,,,,
,2/12/10,4,23,44000000.00,0.00,2.00,29.00,1287.00,1681.00,27645.00,72620.00,163926.00,302900.00,570059.00,0.00,0.00,69.00,107.00,1536.00,3603.00,9289.00,16836.00,31400.00,,,,,,,,,,,,,,,
,2/9/10,4,12,32000000.00,0.00,4.00,28.00,1348.00,1542.00,26328.00,69997.00,157860.00,286995.00,544070.00,1.00,1.00,62.00,89.00,1356.00,3944.00,8456.00,15257.00,29200.00,,,,,,,,,,,,,,,
,2/5/10,4,41,20000000.00,0.00,2.00,22.00,1197.00,1397.00,21855.00,63159.00,136471.00,268321.00,492400.00,0.00,2.00,84.00,51.00,1100.00,3317.00,6678.00,13189.00,24400.00,,,,,,,,,,,,,,,
,2/2/10,4,9,12000000.00,0.00,3.00,36.00,1574.00,1798.00,29910.00,73543.00,163997.00,280487.00,551309.00,0.00,2.00,69.00,83.00,1538.00,3842.00,8370.00,14632.00,28500.00,,,,,,,,,,,,,,,